display_id,name,upc,prior_year_units,case_pack,unit_width_in,unit_depth_in,unit_height_in,min_facings,stockout_last_year,discount_pct,elasticity_coefficient,case_width_in,case_depth_in,case_height_in
pudding_endcap_2025,Chocolate,012345678901,480,12,2.5,2.5,3.0,1,true,0.0,-1.5,,,
pudding_endcap_2025,Vanilla,012345678902,360,12,2.5,2.5,3.0,1,false,0.0,-1.5,,,
pudding_endcap_2025,Butterscotch,012345678903,150,12,2.5,2.5,3.0,1,false,0.20,-1.5,,,
pudding_endcap_2025,Tapioca,012345678904,90,12,2.5,2.5,3.0,1,false,0.20,-1.5,,,
pudding_endcap_2025,Chocolate Vanilla Swirl,012345678905,210,12,2.5,2.5,3.0,1,false,0.0,-1.5,,,
produce_crate_2025,Avocados,,600,1,3.5,3.5,3.5,1,false,0.0,-1.5,,,
produce_crate_2025,Limes,,300,1,2.0,2.0,2.0,1,false,0.0,-1.5,,,
produce_crate_2025,Tomatoes,,450,1,3.0,3.0,3.0,1,false,0.10,-1.5,,,
soda_stack_2025,Cola 12pk,,3000,24,2.5,2.5,4.8,1,false,0.0,-1.5,16,12,10
soda_stack_2025,Lemon-Lime 12pk,,1800,24,2.5,2.5,4.8,1,false,0.15,-1.5,16,12,10
soda_stack_2025,Root Beer 12pk,,900,24,2.5,2.5,4.8,1,false,0.0,-1.5,16,12,10
